Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Sheath_sumtemp	Sheath_diameter	Sheath_length	Sheath_final_length	Sheath_surface	Sheath_PAR	Photosynthetic
21.0	214.0	5.1	2	Maxwell	(1,)	-1	2	37.7	0.4	0.0	2.70152	0.0	0.0	True
21.0	214.0	5.1	3	Maxwell	(1,)	-1	1	95.2	0.4	0.0	2.148	0.0	0.0	True
21.0	214.0	5.1	4	Maxwell	(1,)	-1	1	158.0	0.4	0.0	2.148	0.0	0.0	True
21.0	214.0	5.1	4	Maxwell	(1,)	-1	2	58.5	0.4	0.0	2.70152	0.0	0.0	True
22.0	218.4	4.4	1	Maxwell	(1,)	-1	1	152.6	0.4	0.0	2.148	0.0	0.0	True
22.0	218.4	4.4	1	Maxwell	(1,)	-1	2	62.9	0.4	0.0	2.70152	0.0	0.0	True
22.0	218.4	4.4	2	Maxwell	(1,)	-1	1	142.6	0.4	0.0	2.148	0.0	0.0	True
22.0	218.4	4.4	2	Maxwell	(1,)	-1	2	42.1	0.4	0.0	2.70152	0.0	0.0	True
22.0	218.4	4.4	3	Maxwell	(1,)	-1	1	99.6	0.4	0.0	2.148	0.0	0.0	True
22.0	218.4	4.4	4	Maxwell	(1,)	-1	1	162.4	0.4	0.238666666667	2.148	0.149958689331	0.0	True
22.0	218.4	4.4	4	Maxwell	(1,)	-1	2	62.9	0.4	0.0	2.70152	0.0	0.0	True
23.0	224.9	6.5	1	Maxwell	(1,)	-1	1	159.1	0.4	0.352575757576	2.148	0.221529881967	0.0	True
23.0	224.9	6.5	1	Maxwell	(1,)	-1	2	69.4	0.4	0.0	2.70152	0.0	0.0	True
23.0	224.9	6.5	2	Maxwell	(1,)	-1	1	149.1	0.4	0.0	2.148	0.0	0.0	True
23.0	224.9	6.5	2	Maxwell	(1,)	-1	2	48.6	0.4	0.0	2.70152	0.0	0.0	True
23.0	224.9	6.5	3	Maxwell	(1,)	-1	1	106.1	0.4	0.0	2.148	0.0	0.0	True
23.0	224.9	6.5	3	Maxwell	(1,)	-1	2	6.5	0.4	0.0	2.70152	0.0	0.0	True
23.0	224.9	6.5	4	Maxwell	(1,)	-1	1	168.9	0.4	0.591242424242	2.148	0.371488571298	0.0	True
23.0	224.9	6.5	4	Maxwell	(1,)	-1	2	69.4	0.4	0.0	2.70152	0.0	0.0	True
24.0	230.7	5.8	1	Maxwell	(1,)	-1	1	164.9	0.4	0.667181818182	2.148	0.419202699722	0.0	True
24.0	230.7	5.8	1	Maxwell	(1,)	-1	2	75.2	0.4	0.0	2.70152	0.0	0.0	True
24.0	230.7	5.8	2	Maxwell	(1,)	-1	1	154.9	0.4	0.0	2.148	0.0	0.0	True
24.0	230.7	5.8	2	Maxwell	(1,)	-1	2	54.4	0.4	0.0	2.70152	0.0	0.0	True
24.0	230.7	5.8	3	Maxwell	(1,)	-1	1	111.9	0.4	0.0	2.148	0.0	0.0	True
24.0	230.7	5.8	3	Maxwell	(1,)	-1	2	12.3	0.4	0.0	2.70152	0.0	0.0	True
24.0	230.7	5.8	4	Maxwell	(1,)	-1	1	174.7	0.4	0.905848484848	2.148	0.569161389053	0.0	True
24.0	230.7	5.8	4	Maxwell	(1,)	-1	2	75.2	0.4	0.0	2.70152	0.0	0.0	True
25.0	237.4	6.7	1	Maxwell	(1,)	-1	1	171.6	0.4	1.03060606061	2.148	0.647548885749	0.0	True
25.0	237.4	6.7	1	Maxwell	(1,)	-1	2	81.9	0.4	0.0	2.70152	0.0	0.0	True
25.0	237.4	6.7	2	Maxwell	(1,)	-1	1	161.6	0.4	0.363424242424	2.148	0.228346186027	0.0	True
25.0	237.4	6.7	2	Maxwell	(1,)	-1	2	61.1	0.4	0.0	2.70152	0.0	0.0	True
25.0	237.4	6.7	3	Maxwell	(1,)	-1	1	118.6	0.4	0.0	2.148	0.0	0.0	True
