Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Sum_temp	Peduncle_length	Peduncle_final_length	Peduncle_surface	Peduncle_PAR	Photosynthetic
84.0	389.5	6.8	4	Maxwell	(1, 2, 3)	6	4	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 4, 2)	10	0	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 4)	7	3	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 5, 1)	10	0	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 5)	8	2	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 7)	10	0	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 2)	2	8	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1, 1, 2)	10	0	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1, 1)	7	3	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1, 2, 1)	10	0	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1, 2)	8	2	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1, 4)	10	0	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1)	5	5	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 2, 1, 1)	10	0	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 2, 1)	8	2	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 2, 3)	10	0	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 2)	6	4	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 3, 2)	10	0	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 3)	7	3	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 4, 1)	10	0	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 4)	8	2	13.9	0	31.5844	0.0	0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 6)	10	0	13.9	0	31.5844	0.0	0	True
