Init_flag	Elapsed_time	Temp_cum	DOY	Genotype	Num_plante	Surface_plante	Surface_visible	Surface_sol	GAI_tot	GAI_center	GAI_ind	GAI_prox	Position	Weakest_axis	PAR_weakest_axis
False	17.0	176.3	336	0	1	2.00044951705	1.10817877933	184.331797235	0.0183665888298	0.0183665888298	0.0240474795115	0.0181648988338	center	No	1.0
False	17.0	176.3	336	0	2	1.36293963068	0.933002840909	184.331797235	0.0183665888298	0.0183665888298	0.0202461616477	0.0181648988338	center	No	1.0
False	17.0	176.3	336	0	3	0.842847301136	0.0781423678901	184.331797235	0.0183665888298	0.0183665888298	0.00169568938322	0.0181648988338	center	No	1.0
False	17.0	176.3	336	0	4	2.1189821875	1.26622233994	184.331797235	0.0183665888298	0.0183665888298	0.0274770247767	0.0181648988338	center	No	1.0
False	18.0	190.2	337	0	1	2.39543855114	1.35714048416	184.331797235	0.0225473351347	0.0225473351347	0.0294499485064	0.0222971381102	center	No	1.0
False	18.0	190.2	337	0	2	1.93500366477	1.16337730665	184.331797235	0.0225473351347	0.0225473351347	0.0252452875543	0.0222971381102	center	No	1.0
False	18.0	190.2	337	0	3	1.01097017045	0.120488972645	184.331797235	0.0225473351347	0.0225473351347	0.00261461070641	0.0222971381102	center	No	1.0
False	18.0	190.2	337	0	4	2.51397122159	1.51518404477	184.331797235	0.0225473351347	0.0225473351347	0.0328794937715	0.0222971381102	center	No	1.0
False	19.0	201.7	338	0	1	2.72222803977	1.57250540553	184.331797235	0.0261964912307	0.0261964912307	0.0341233672999	0.0259055486405	center	No	1.0
False	19.0	201.7	338	0	2	2.26179315341	1.36336429639	184.331797235	0.0261964912307	0.0261964912307	0.0295850052317	0.0259055486405	center	No	1.0
False	19.0	201.7	338	0	3	1.15006463068	0.162427641743	184.331797235	0.0261964912307	0.0261964912307	0.00352467982582	0.0259055486405	center	No	1.0
False	19.0	201.7	338	0	4	2.84076071023	1.73054896613	184.331797235	0.0261964912307	0.0261964912307	0.0375529125651	0.0259055486405	center	No	1.0
False	20.0	208.9	339	0	1	2.92682667614	1.71167050996	184.331797235	0.0316796629256	0.0316796629256	0.0371432500661	0.0315045339446	center	No	1.0
False	20.0	208.9	339	0	2	2.46639178977	1.49290147842	184.331797235	0.0316796629256	0.0316796629256	0.0323959620817	0.0315045339446	center	No	1.0
False	20.0	208.9	339	0	3	1.23714985795	0.765283143939	184.331797235	0.0316796629256	0.0316796629256	0.0166066442235	0.0315045339446	center	No	1.0
False	20.0	208.9	339	0	4	3.04535934659	1.86971407057	184.331797235	0.0316796629256	0.0316796629256	0.0405727953313	0.0315045339446	center	No	1.0
False	21.0	214.0	340	0	1	3.07175071023	1.81226221712	184.331797235	0.0337259865001	0.0337259865001	0.0393260901115	0.0335472508519	center	No	1.0
False	21.0	214.0	340	0	2	2.61131582386	1.58667340721	184.331797235	0.0337259865001	0.0337259865001	0.0344308129364	0.0335472508519	center	No	1.0
False	21.0	214.0	340	0	3	1.29883522727	0.84753030303	184.331797235	0.0337259865001	0.0337259865001	0.0183914075758	0.0335472508519	center	No	1.0
False	21.0	214.0	340	0	4	3.19028338068	1.97030577773	184.331797235	0.0337259865001	0.0337259865001	0.0427556353766	0.0335472508519	center	No	1.0
False	22.0	218.4	341	0	1	3.19678321023	1.90039085972	184.331797235	0.0356721995811	0.0356721995811	0.041238481656	0.0354953868014	center	No	1.0
False	22.0	218.4	341	0	2	2.73634832386	1.66891831945	184.331797235	0.0356721995811	0.0356721995811	0.0362155275321	0.0354953868014	center	No	1.0
False	22.0	218.4	341	0	3	1.35205397727	0.918488636364	184.331797235	0.0356721995811	0.0356721995811	0.0199312034091	0.0354953868014	center	No	1.0
False	22.0	218.4	341	0	4	3.26693519886	2.08772284457	184.331797235	0.0356721995811	0.0356721995811	0.0453035857272	0.0354953868014	center	No	1.0
False	23.0	224.9	342	0	1	3.37302369318	2.16013178514	184.331797235	0.0389887123727	0.0389887123727	0.0468748597376	0.0387670877802	center	No	1.0
