Init_flag	Elapsed_time	DOY	Temperature	Temp_cum	Num_plante	Num_talle	Sheath_max	Collar_height	Dead_collar_height	Delta_H	Visible_leaves_surface	Visible_surface	Leaf_contrib_to_GAI	Stem_contrib_to_GAI	Ear_contrib_to_GAI	Peduncle_contrib_to_GAI	Stop_growth_flag
False	7.0	326	10.0	75.8	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	7.0	326	10.0	75.8	4	(1,)	0.5	0.5	0.0	0.0	0.00926576450893	0.00926576450893	0.00926576450893	0.0	0.0	0.0	False
False	8.0	327	13.7	89.5	1	(1,)	0.5	0.5	0.0	0.0	0.0132753985997	0.0132753985997	0.0132753985997	0.0	0.0	0.0	False
False	8.0	327	13.7	89.5	2	(1,)	0.5	0.5	0.0	0.0	0.00443600484818	0.00443600484818	0.00443600484818	0.0	0.0	0.0	False
False	8.0	327	13.7	89.5	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	8.0	327	13.7	89.5	4	(1,)	0.5	0.5	0.0	0.0	0.0265240899402	0.0265240899402	0.0265240899402	0.0	0.0	0.0	False
False	9.0	328	14.8	104.3	1	(1,)	0.5	0.5	0.0	0.0	0.0350325972946	0.0350325972946	0.0350325972946	0.0	0.0	0.0	False
False	9.0	328	14.8	104.3	2	(1,)	0.5	0.5	0.0	0.0	0.0191973197183	0.0191973197183	0.0191973197183	0.0	0.0	0.0	False
False	9.0	328	14.8	104.3	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	9.0	328	14.8	104.3	4	(1,)	0.5	0.5	0.0	0.0	0.0551372547833	0.0551372547833	0.0551372547833	0.0	0.0	0.0	False
False	10.0	329	14.5	118.8	1	(1,)	0.5	0.5	0.0	0.0	0.0663899921069	0.0663899921069	0.0663899921069	0.0	0.0	0.0	False
False	10.0	329	14.5	118.8	2	(1,)	0.5	0.5	0.0	0.0	0.0437006391618	0.0437006391618	0.0437006391618	0.0	0.0	0.0	False
False	10.0	329	14.5	118.8	3	(1,)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
False	10.0	329	14.5	118.8	4	(1,)	0.5	0.5	0.0	0.0	0.093211643457	0.093211643457	0.093211643457	0.0	0.0	0.0	False
False	11.0	330	11.2	130.0	1	(1,)	0.5	0.5	0.0	0.0	0.0974139007004	0.0974139007004	0.0974139007004	0.0	0.0	0.0	False
False	11.0	330	11.2	130.0	2	(1,)	0.5	0.5	0.0	0.0	0.0694303654015	0.0694303654015	0.0694303654015	0.0	0.0	0.0	False
False	11.0	330	11.2	130.0	3	(1,)	0.5	0.5	0.0	0.0	0.00296474211815	0.00296474211815	0.00296474211815	0.0	0.0	0.0	False
False	11.0	330	11.2	130.0	4	(1,)	0.5	0.5	0.0	0.0	0.129423850757	0.129423850757	0.129423850757	0.0	0.0	0.0	False
False	12.0	331	6.1	136.1	1	(1,)	0.5	0.5	0.0	0.0	0.116805025308	0.116805025308	0.116805025308	0.0	0.0	0.0	False
False	12.0	331	6.1	136.1	2	(1,)	0.5	0.5	0.0	0.0	0.0859380514062	0.0859380514062	0.0859380514062	0.0	0.0	0.0	False
False	12.0	331	6.1	136.1	3	(1,)	0.5	0.5	0.0	0.0	0.00707364212804	0.00707364212804	0.00707364212804	0.0	0.0	0.0	False
False	12.0	331	6.1	136.1	4	(1,)	0.5	0.5	0.0	0.0	0.151640745197	0.151640745197	0.151640745197	0.0	0.0	0.0	False
False	13.0	332	5.1	141.2	1	(1,)	0.5	0.5	0.0	0.0	0.13436729353	0.13436729353	0.13436729353	0.0	0.0	0.0	False
False	13.0	332	5.1	141.2	2	(1,)	0.5	0.5	0.0	0.0	0.101089575877	0.101089575877	0.101089575877	0.0	0.0	0.0	False
False	13.0	332	5.1	141.2	3	(1,)	0.5	0.5	0.0	0.0	0.0118589684726	0.0118589684726	0.0118589684726	0.0	0.0	0.0	False
False	13.0	332	5.1	141.2	4	(1,)	0.5	0.5	0.0	0.0	0.171565542294	0.171565542294	0.171565542294	0.0	0.0	0.0	False
False	14.0	333	8.1	149.3	1	(1,)	0.5	0.5	0.0	0.0	0.164787334449	0.164787334449	0.164787334449	0.0	0.0	0.0	False
False	14.0	333	8.1	149.3	2	(1,)	0.5	0.5	0.0	0.0	0.127680788487	0.127680788487	0.127680788487	0.0	0.0	0.0	False
False	14.0	333	8.1	149.3	3	(1,)	0.5	0.5	0.0	0.0	0.0219862193512	0.0219862193512	0.0219862193512	0.0	0.0	0.0	False
False	14.0	333	8.1	149.3	4	(1,)	0.5	0.5	0.0	0.0	0.816889204545	0.816889204545	0.816889204545	0.0	0.0	0.0	False
False	15.0	334	6.2	155.5	1	(1,)	0.5	0.5	0.0	0.0	0.758832386364	0.758832386364	0.758832386364	0.0	0.0	0.0	False
False	15.0	334	6.2	155.5	2	(1,)	0.5	0.5	0.0	0.0	0.150130012446	0.150130012446	0.150130012446	0.0	0.0	0.0	False
False	15.0	334	6.2	155.5	3	(1,)	0.5	0.5	0.0	0.0	0.0318333985293	0.0318333985293	0.0318333985293	0.0	0.0	0.0	False
False	15.0	334	6.2	155.5	4	(1,)	0.5	0.5	0.0	0.0	0.91687594697	0.91687594697	0.91687594697	0.0	0.0	0.0	False
False	16.0	335	8.0	163.5	1	(1,)	0.5	0.5	0.0	0.0	0.889904786256	0.889904786256	0.889904786256	0.0	0.0	0.0	False
False	16.0	335	8.0	163.5	2	(1,)	0.5	0.5	0.0	0.0	0.726578598485	0.726578598485	0.726578598485	0.0	0.0	0.0	False
False	16.0	335	8.0	163.5	3	(1,)	0.5	0.5	0.0	0.0	0.0472243429437	0.0472243429437	0.0472243429437	0.0	0.0	0.0	False
False	16.0	335	8.0	163.5	4	(1,)	0.5	0.5	0.0	0.0	1.04794834686	1.04794834686	1.04794834686	0.0	0.0	0.0	False
False	17.0	336	12.8	176.3	1	(1,)	0.5	0.5	0.0	0.0	1.10817877933	1.10817877933	1.10817877933	0.0	0.0	0.0	False
False	17.0	336	12.8	176.3	2	(1,)	0.5	0.5	0.0	0.0	0.933002840909	0.933002840909	0.933002840909	0.0	0.0	0.0	False
False	17.0	336	12.8	176.3	3	(1,)	0.5	0.5	0.0	0.0	0.0781423678901	0.0781423678901	0.0781423678901	0.0	0.0	0.0	False
False	17.0	336	12.8	176.3	4	(1,)	0.5	0.5	0.0	0.0	1.26622233994	1.26622233994	1.26622233994	0.0	0.0	0.0	False
False	18.0	337	13.9	190.2	1	(1,)	0.5	0.5	0.0	0.0	1.35714048416	1.35714048416	1.35714048416	0.0	0.0	0.0	False
False	18.0	337	13.9	190.2	2	(1,)	0.5	0.5	0.0	0.0	1.16337730665	1.16337730665	1.16337730665	0.0	0.0	0.0	False
False	18.0	337	13.9	190.2	3	(1,)	0.5	0.5	0.0	0.0	0.120488972645	0.120488972645	0.120488972645	0.0	0.0	0.0	False
False	18.0	337	13.9	190.2	4	(1,)	0.5	0.5	0.0	0.0	1.51518404477	1.51518404477	1.51518404477	0.0	0.0	0.0	False
False	19.0	338	11.5	201.7	1	(1,)	0.5	0.5	0.0	0.0	1.57250540553	1.57250540553	1.57250540553	0.0	0.0	0.0	False
False	19.0	338	11.5	201.7	2	(1,)	0.5	0.5	0.0	0.0	1.36336429639	1.36336429639	1.36336429639	0.0	0.0	0.0	False
False	19.0	338	11.5	201.7	3	(1,)	0.5	0.5	0.0	0.0	0.162427641743	0.162427641743	0.162427641743	0.0	0.0	0.0	False
False	19.0	338	11.5	201.7	4	(1,)	0.5	0.5	0.0	0.0	1.73054896613	1.73054896613	1.73054896613	0.0	0.0	0.0	False
False	20.0	339	7.2	208.9	1	(1,)	0.5	0.5	0.0	0.0	1.71167050996	1.71167050996	1.71167050996	0.0	0.0	0.0	False
False	20.0	339	7.2	208.9	2	(1,)	0.5	0.5	0.0	0.0	1.49290147842	1.49290147842	1.49290147842	0.0	0.0	0.0	False
False	20.0	339	7.2	208.9	3	(1,)	0.5	0.5	0.0	0.0	0.765283143939	0.765283143939	0.765283143939	0.0	0.0	0.0	False
False	20.0	339	7.2	208.9	4	(1,)	0.5	0.5	0.0	0.0	1.86971407057	1.86971407057	1.86971407057	0.0	0.0	0.0	False
False	21.0	340	5.1	214.0	1	(1,)	0.5	0.5	0.0	0.0	1.81226221712	1.81226221712	1.81226221712	0.0	0.0	0.0	False
False	21.0	340	5.1	214.0	2	(1,)	0.5	0.5	0.0	0.0	1.58667340721	1.58667340721	1.58667340721	0.0	0.0	0.0	False
False	21.0	340	5.1	214.0	3	(1,)	0.5	0.5	0.0	0.0	0.84753030303	0.84753030303	0.84753030303	0.0	0.0	0.0	False
False	21.0	340	5.1	214.0	4	(1,)	0.5	0.5	0.0	0.0	1.97030577773	1.97030577773	1.97030577773	0.0	0.0	0.0	False
False	22.0	341	4.4	218.4	1	(1,)	0.5	0.5	0.0	0.0	1.90039085972	1.90039085972	1.90039085972	0.0	0.0	0.0	False
False	22.0	341	4.4	218.4	2	(1,)	0.5	0.5	0.0	0.0	1.66891831945	1.66891831945	1.66891831945	0.0	0.0	0.0	False
False	22.0	341	4.4	218.4	3	(1,)	0.5	0.5	0.0	0.0	0.918488636364	0.918488636364	0.918488636364	0.0	0.0	0.0	False
False	22.0	341	4.4	218.4	4	(1,)	0.5	0.5	0.0	0.0	2.08772284457	2.08772284457	2.08772284457	0.0	0.0	0.0	False
False	23.0	342	6.5	224.9	1	(1,)	0.5	0.5	0.0	0.0	2.16013178514	2.16013178514	2.16013178514	0.0	0.0	0.0	False
False	23.0	342	6.5	224.9	2	(1,)	0.5	0.5	0.0	0.0	1.79269392351	1.79269392351	1.79269392351	0.0	0.0	0.0	False
False	23.0	342	6.5	224.9	3	(1,)	0.5	0.5	0.0	0.0	1.02467155234	1.02467155234	1.02467155234	0.0	0.0	0.0	False
False	23.0	342	6.5	224.9	4	(1,)	0.591242424242	0.591242424242	0.0	0.0	2.20936216255	2.20936216255	2.20936216255	0.0	0.0	0.0	False
False	24.0	343	5.8	230.7	1	(1,)	0.667181818182	0.667181818182	0.0	0.0	2.22791364162	2.22791364162	2.22791364162	0.0	0.0	0.0	False
