Elapsed_time	Temp_cum	Num_plante	Genotype	Num_talle	Ear_sumtemp	Ear_length	Ear_surface	Ear_PAR	Photosynthetic	Emerged
85.0	391.5	1	Maxwell	(1, 7, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 7)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 8, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 8)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 10)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1,)	8.8	0.0	0.0	0.0	True	True
85.0	391.5	2	Maxwell	(1,)	2.0	0.0	0.0	0.0	True	True
85.0	391.5	4	Maxwell	(1, 2, 1, 1, 1, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 1, 1, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 1, 1, 3)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 1, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 1, 2, 2)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 1, 2)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 1, 3, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 1, 3)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 1, 5)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 2, 1, 2)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 2, 2, 1)	15.9	0.0	0.0	0.0	True	False
