Abs_int_PAR	Elapsed_time	Inc_PAR	Num_plante	Num_talle	Sum_PAR	Temp_cum
5685.07291701	158.0	34077400	2	(1, 2, 1)	438530.880808	875.7
31864.4772055	158.0	34077400	2	(1, 3)	1149867.0585	875.7
17316.4412196	158.0	34077400	2	(1, 4)	1114786.26087	875.7
52927.8800177	158.0	34077400	2	(1,)	1138924.93925	875.7
27742.1946082	158.0	34077400	3	(1, 2)	802891.931462	875.7
6900.55458291	158.0	34077400	3	(1, 2, 1)	506556.893063	875.7
14703.3417043	158.0	34077400	3	(1, 3)	637977.587137	875.7
5859.4331779	158.0	34077400	3	(1, 4)	425663.922454	875.7
47666.1875675	158.0	34077400	3	(1,)	1023111.17384	875.7
48581.1253538	158.0	34077400	4	(1, 2)	1288436.12633	875.7
21141.7794863	158.0	34077400	4	(1, 4)	1318312.3171	875.7
70685.0505426	158.0	34077400	4	(1,)	1507733.51287	875.7
11727.7362639	159.0	8645600	1	(1, 2)	459053.535016	886.0
4529.94855465	159.0	8645600	1	(1, 2, 1)	319196.501331	886.0
1048.99588573	159.0	8645600	1	(1, 4)	112590.720743	886.0
16501.4164801	159.0	8645600	1	(1,)	520278.721351	886.0
8752.83013973	159.0	8645600	2	(1, 2)	345485.475528	886.0
1436.13344673	159.0	8645600	2	(1, 2, 1)	164555.781285	886.0
8174.14330589	159.0	8645600	2	(1, 3)	432198.658616	886.0
4570.70694834	159.0	8645600	2	(1, 4)	425621.656558	886.0
13355.3041531	159.0	8645600	2	(1,)	423773.966715	886.0
7421.35984198	159.0	8645600	3	(1, 2)	295303.635954	886.0
1728.52380468	159.0	8645600	3	(1, 2, 1)	189834.223095	886.0
4071.46453736	159.0	8645600	3	(1, 3)	238876.364749	886.0
1438.44943111	159.0	8645600	3	(1, 4)	155224.418574	886.0
12542.1727968	159.0	8645600	3	(1,)	373446.964101	886.0
12285.717645	159.0	8645600	4	(1, 2)	478530.547181	886.0
5468.86305557	159.0	8645600	4	(1, 4)	381147.447975	886.0
17827.8270123	159.0	8645600	4	(1,)	560037.372953	886.0
37172.6926516	160.0	27249800	1	(1, 2)	1354132.20352	895.6
14747.3281249	160.0	27249800	1	(1, 2, 1)	1047697.59339	895.6
3293.39562617	160.0	27249800	1	(1, 4)	379261.458165	895.6
52062.499394	160.0	27249800	1	(1,)	1746618.51368	895.6
27980.3541216	160.0	27249800	2	(1, 2)	1172806.28006	895.6
4519.72196768	160.0	27249800	2	(1, 2, 1)	555643.271346	895.6
26050.0971629	160.0	27249800	2	(1, 3)	1456246.23203	895.6
14963.7265516	160.0	27249800	2	(1, 4)	1137859.38208	895.6
41880.1790301	160.0	27249800	2	(1,)	1414723.30984	895.6
22141.0698159	160.0	27249800	3	(1, 2)	976164.966936	895.6
6439.92604832	160.0	27249800	3	(1, 2, 1)	708613.357052	895.6
13911.7258666	160.0	27249800	3	(1, 3)	833081.83103	895.6
4378.28503667	160.0	27249800	3	(1, 4)	506915.378016	895.6
40648.3596202	160.0	27249800	3	(1,)	1230202.94918	895.6
38634.0655265	160.0	27249800	4	(1, 2)	1400223.05275	895.6
17619.9420958	160.0	27249800	4	(1, 4)	1236227.43959	895.6
56362.2247932	160.0	27249800	4	(1,)	1882741.99032	895.6
46604.7940134	161.0	33915800	1	(1, 2)	1343181.14079	907.3
19111.7330946	161.0	33915800	1	(1, 2, 1)	1035590.44766	907.3
4056.48403553	161.0	33915800	1	(1, 4)	383292.17092	907.3
65025.7297689	161.0	33915800	1	(1,)	1565256.25239	907.3
35495.9857908	161.0	33915800	2	(1, 2)	1056829.73218	907.3
5594.78976569	161.0	33915800	2	(1, 2, 1)	564356.436786	907.3
32900.9099342	161.0	33915800	2	(1, 3)	1244497.41173	907.3
19489.240177	161.0	33915800	2	(1, 4)	1124766.63382	907.3
51890.7666712	161.0	33915800	2	(1,)	1422940.47838	907.3
28031.3355137	161.0	33915800	3	(1, 2)	994709.508643	907.3
8945.32871886	161.0	33915800	3	(1, 2, 1)	776503.005805	907.3
17606.8008477	161.0	33915800	3	(1, 3)	844230.385446	907.3
5369.53455649	161.0	33915800	3	(1, 4)	510097.796657	907.3
46166.9596992	161.0	33915800	3	(1,)	1310501.69858	907.3
48468.8086201	161.0	33915800	4	(1, 2)	1388736.93544	907.3
