Init_flag	Elapsed_time	Temp_cum	DOY	Genotype	Num_plante	Surface_plante	Surface_visible	Surface_sol	GAI_tot	GAI_center	GAI_ind	GAI_prox	Position	Weakest_axis	PAR_weakest_axis
False	51.0	268.8	5	0	2	4.59356447708	2.21516010803	184.331797235	0.0473876643517	0.0473876643517	0.0480689743443	0.0472735031185	center	No	1.0
False	51.0	268.8	5	0	3	2.96131943182	1.81293627901	184.331797235	0.0473876643517	0.0473876643517	0.0393407172544	0.0472735031185	center	No	1.0
False	51.0	268.8	5	0	4	5.21366239432	2.35472416647	184.331797235	0.0473876643517	0.0473876643517	0.0510975144124	0.0472735031185	center	No	1.0
False	52.0	268.8	6	0	1	5.14822453096	2.3522327832	184.331797235	0.0473876643517	0.0473876643517	0.0510434513955	0.0472735031185	center	No	1.0
False	52.0	268.8	6	0	2	4.59356447708	2.21516010803	184.331797235	0.0473876643517	0.0473876643517	0.0480689743443	0.0472735031185	center	No	1.0
False	52.0	268.8	6	0	3	2.96131943182	1.81293627901	184.331797235	0.0473876643517	0.0473876643517	0.0393407172544	0.0472735031185	center	No	1.0
False	52.0	268.8	6	0	4	5.21366239432	2.35472416647	184.331797235	0.0473876643517	0.0473876643517	0.0510975144124	0.0472735031185	center	No	1.0
False	53.0	268.8	7	0	1	5.14822453096	2.3522327832	184.331797235	0.0473876643517	0.0473876643517	0.0510434513955	0.0472735031185	center	No	1.0
False	53.0	268.8	7	0	2	4.59356447708	2.21516010803	184.331797235	0.0473876643517	0.0473876643517	0.0480689743443	0.0472735031185	center	No	1.0
False	53.0	268.8	7	0	3	2.96131943182	1.81293627901	184.331797235	0.0473876643517	0.0473876643517	0.0393407172544	0.0472735031185	center	No	1.0
False	53.0	268.8	7	0	4	5.21366239432	2.35472416647	184.331797235	0.0473876643517	0.0473876643517	0.0510975144124	0.0472735031185	center	No	1.0
False	54.0	269.7	8	0	1	5.17848192786	2.35726528658	184.331797235	0.0477011190768	0.0477011190768	0.0511526567188	0.0475866644697	center	No	1.0
False	54.0	269.7	8	0	2	4.62388560113	2.24524662351	184.331797235	0.0477011190768	0.0477011190768	0.0487218517302	0.0475866644697	center	No	1.0
False	54.0	269.7	8	0	3	2.98689426136	1.83039267018	184.331797235	0.0477011190768	0.0477011190768	0.0397195209428	0.0475866644697	center	No	1.0
False	54.0	269.7	8	0	4	5.2435119375	2.35992842929	184.331797235	0.0477011190768	0.0477011190768	0.0512104469156	0.0475866644697	center	No	1.0
False	55.0	270.1	9	0	1	5.19192965981	2.35953325294	184.331797235	0.0478408680806	0.0478408680806	0.0512018715889	0.047726283344	center	No	1.0
False	55.0	270.1	9	0	2	4.63736165626	2.25862018113	184.331797235	0.0478408680806	0.0478408680806	0.0490120579305	0.047726283344	center	No	1.0
False	55.0	270.1	9	0	3	2.99826085227	1.83816778139	184.331797235	0.0478408680806	0.0478408680806	0.0398882408562	0.047726283344	center	No	1.0
False	55.0	270.1	9	0	4	5.25677840114	2.36227197911	184.331797235	0.0478408680806	0.0478408680806	0.0512613019466	0.047726283344	center	No	1.0
False	56.0	271.9	10	0	1	5.25244445362	2.36997744942	184.331797235	0.0482155897382	0.0482155897382	0.0514285106524	0.0481068486293	center	No	1.0
