Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Blade_sumtemp	Blade_width	Blade_length	Blade_visible_length	Blade_final_length	Blade_visible_surface	Blade_surface	Blade_PAR	Senesc_flag	Photosynthetic
20.0	208.9	7.2	3	Maxwell	(1,)	-1	1	157.6	0.393	4.19728535354	3.69728535354	7.0	0.765283143939	1.23714985795	0.0	False	True
20.0	208.9	7.2	4	Maxwell	(1,)	-1	1	154.4	0.393	6.77430555556	6.27430555556	7.0	1.77805208333	1.9967265625	0.0	False	True
20.0	208.9	7.2	4	Maxwell	(1,)	-1	2	200.9	0.4722	2.96098484848	2.46098484848	7.8	0.0916619872319	1.04863278409	0.0	False	True
21.0	214.0	5.1	1	Maxwell	(1,)	-1	1	152.9	0.393	6.58143939394	6.08143939394	7.0	1.70225568182	1.93987926136	0.0	False	True
21.0	214.0	5.1	1	Maxwell	(1,)	-1	2	189.6	0.4722	3.19602272727	2.69602272727	7.8	0.110006535302	1.13187144886	0.0	False	True
21.0	214.0	5.1	2	Maxwell	(1,)	-1	1	153.1	0.393	6.17108585859	5.67108585859	7.0	1.54098674242	1.81892755682	0.0	False	True
21.0	214.0	5.1	2	Maxwell	(1,)	-1	2	200.6	0.4722	2.23743686869	1.73743686869	7.8	0.0456866647845	0.792388267045	0.0	False	True
21.0	214.0	5.1	3	Maxwell	(1,)	-1	1	157.6	0.393	4.40656565657	3.90656565657	7.0	0.84753030303	1.29883522727	0.0	False	True
21.0	214.0	5.1	4	Maxwell	(1,)	-1	1	154.4	0.393	6.98358585859	6.48358585859	7.0	1.86029924242	2.05841193182	0.0	False	True
21.0	214.0	5.1	4	Maxwell	(1,)	-1	2	200.9	0.4722	3.19602272727	2.69602272727	7.8	0.110006535302	1.13187144886	0.0	False	True
22.0	218.4	4.4	1	Maxwell	(1,)	-1	1	152.9	0.393	6.76199494949	6.26199494949	7.0	1.77321401515	1.99309801136	0.0	False	True
22.0	218.4	4.4	1	Maxwell	(1,)	-1	2	189.6	0.4722	3.39880050505	2.89880050505	7.8	0.127176844571	1.20368519886	0.0	False	True
22.0	218.4	4.4	2	Maxwell	(1,)	-1	1	153.1	0.393	6.35164141414	5.85164141414	7.0	1.61194507576	1.87214630682	0.0	False	True
