Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;2;29;6.8;1375.3333333333;27781733.3333333
France;1901;3;1;4.5545454545;1066.9;21551380
France;1901;3;2;4.8545454545;1262.8;25508560
France;1901;3;3;4.9;1142.5;23078500
France;1901;3;4;4.5909090909;1195.4;24147080
France;1901;3;5;4.4727272727;1441.3;29114260
France;1901;3;6;4.7545454545;1386.5;28007300
France;1901;3;7;5.0545454545;1433.1;28948620
France;1901;3;8;6.6727272727;1442;29128400
France;1901;3;9;6.7454545455;1353.6;27342720
France;1901;3;10;5.9363636364;1565.6;31625120
France;1901;3;11;5.9272727273;1466.6;29625320
France;1901;3;12;5.7545454545;1477.9;29853580
France;1901;3;13;6.1545454545;1537.1;31049420
France;1901;3;14;7.0181818182;1629.5;32915900
France;1901;3;15;8.5181818182;1404.6;28372920
France;1901;3;16;9.1909090909;1447.6;29241520
France;1901;3;17;8.5545454545;1421.6;28716320
France;1901;3;18;7.9363636364;1478.2;29859640
France;1901;3;19;7.5363636364;1751.3;35376260
France;1901;3;20;7.9636363636;1526.9;30843380
France;1901;3;21;7.4818181818;1302.5;26310500
France;1901;3;22;7.4363636364;1334.7;26960940
France;1901;3;23;7.3727272727;1626.2;32849240
France;1901;3;24;8.0181818182;1375.1;27777020
France;1901;3;25;8.3909090909;1533.6;30978720
France;1901;3;26;8.6727272727;1888.3;38143660
France;1901;3;27;8.6545454545;1601.4;32348280
France;1901;3;28;8.5818181818;1491.8;30134360
France;1901;3;29;9.2727272727;1654.9;33428980
France;1901;3;30;8.9454545455;1527.7;30859540
France;1901;3;31;9.2181818182;1600.3;32326060
France;1901;4;1;9.8818181818;1594.9;32216980
France;1901;4;2;10.6;1537.8;31063560
France;1901;4;3;9.9909090909;1552.2;31354440
France;1901;4;4;8.1090909091;1685.3;34043060
France;1901;4;5;8.4;1962.9;39650580
France;1901;4;6;9.4909090909;1922.1;38826420
France;1901;4;7;9.1545454545;1864.3;37658860
France;1901;4;8;7.9636363636;1689.7;34131940
France;1901;4;9;9.2363636364;2147.6;43381520
France;1901;4;10;10;1833.2;37030640
France;1901;4;11;9.7545454545;1777.1;35897420
France;1901;4;12;9.9727272727;1876.2;37899240
France;1901;4;13;10.3727272727;2063.1;41674620
France;1901;4;14;11.5818181818;2218.3;44809660
France;1901;4;15;10.6909090909;2244.6;45340920
France;1901;4;16;10.2272727273;1951.4;39418280
France;1901;4;17;10.6909090909;1982.8;40052560
France;1901;4;18;10.2818181818;2059.5;41601900
France;1901;4;19;10.3181818182;2138.5;43197700
France;1901;4;20;10.9181818182;2013;40662600
France;1901;4;21;11.7636363636;1992.4;40246480
France;1901;4;22;12.0636363636;2101.6;42452320
France;1901;4;23;12.5272727273;2094.3;42304860
France;1901;4;24;13.6545454545;2348;47429600
France;1901;4;25;13.6545454545;1900.9;38398180
France;1901;4;26;12.7272727273;1749.6;35341920
France;1901;4;27;12.2363636364;2105;42521000
France;1901;4;28;11.8363636364;1822.8;36820560
France;1901;4;29;11.9727272727;2164.7;43726940
France;1901;4;30;12.5;2010.9;40620180
France;1901;5;1;13.0272727273;1953.7;39464740
France;1901;5;2;13.0545454545;2365.4;47781080
France;1901;5;3;12.5272727273;2067;41753400
France;1901;5;4;12.0818181818;2061.9;41650380
France;1901;5;5;12.0545454545;2285.1;46159020
France;1901;5;6;12.3181818182;2214.8;44738960
France;1901;5;7;13.5818181818;2403;48540600
France;1901;5;8;13.4;2024.4;40892880
France;1901;5;9;13.2727272727;1935.4;39095080
France;1901;5;10;13.9818181818;2162.6;43684520
France;1901;5;11;12.9181818182;2233.8;45122760
France;1901;5;12;12.3727272727;2273.9;45932780
France;1901;5;13;12.2727272727;1987.1;40139420
France;1901;5;14;12.3;2181.4;44064280
France;1901;5;15;12.1090909091;2243.3;45314660
France;1901;5;16;12.7090909091;2270.9;45872180
France;1901;5;17;13.4636363636;2445;49389000
France;1901;5;18;14.2545454545;2298.6;46431720
France;1901;5;19;14.2636363636;2287.8888888889;46215355.5555556
France;1901;5;20;14.1181818182;2161;43652200
France;1901;5;21;14.3363636364;2063.4444444444;41681577.7777777
France;1901;5;22;13.9545454545;1936.5;39117300
France;1901;5;23;14.0272727273;2294.5555555556;46350022.2222223
France;1901;5;24;15.0636363636;2439.5555555556;49279022.2222223
France;1901;5;25;16.5818181818;2404.5;48570900
France;1901;5;26;15.3181818182;2135.9;43145180
France;1901;5;27;14.6727272727;2138.4444444444;43196577.7777777
France;1901;5;28;14.3363636364;2094;42298800
France;1901;5;29;14.4727272727;2513.1111111111;50764844.4444444
France;1901;5;30;14.5272727273;2325.3333333333;46971733.3333333
France;1901;5;31;13.6272727273;2209;44621800
France;1901;6;1;14.4454545455;2017;40743400
France;1901;6;2;16.1181818182;2194.8888888889;44336755.5555556
France;1901;6;3;15.9272727273;2391.5555555556;48309422.2222223
France;1901;6;4;15.3272727273;2291.7777777778;46293911.1111112
France;1901;6;5;16.3363636364;2496.6666666667;50432666.6666667
France;1901;6;6;16.0454545455;2205;44541000
France;1901;6;7;16.3181818182;2353.5555555556;47541822.2222223
France;1901;6;8;16.7090909091;2183.1;44098620
France;1901;6;9;16.7545454545;2397.2222222222;48423888.8888888
France;1901;6;10;16.9;2352;47510400
France;1901;6;11;16.7818181818;2552;51550400
France;1901;6;12;16.1454545455;2805.5555555556;56672222.2222223
France;1901;6;13;16.3;2651.7777777778;53565911.1111112
France;1901;6;14;16.7454545455;2499.3333333333;50486533.3333333
France;1901;6;15;15.9;2123.8;42900760
France;1901;6;16;16.4363636364;2419.1111111111;48866044.4444444
France;1901;6;17;17.0909090909;2320.7777777778;46879711.1111112
France;1901;6;18;17.5454545455;2255.6;45563120
France;1901;6;19;16.8090909091;2361.8888888889;47710155.5555556
France;1901;6;20;16.6545454545;2884.3333333333;58263533.3333333
France;1901;6;21;16.8909090909;2825.3333333333;57071733.3333333
France;1901;6;22;17.1818181818;2875;58075000
France;1901;6;23;16.8818181818;2908.1;58743620
France;1901;6;24;17.6545454545;2872.5;58024500
France;1901;6;25;17.5090909091;2380.7;48090140
France;1901;6;26;18.1727272727;2973.5555555556;60065822.2222223
France;1901;6;27;19.6363636364;2910.1111111111;58784244.4444444
France;1901;6;28;19.3363636364;2833.6666666667;57240066.6666667
France;1901;6;29;18.2181818182;2607.8888888889;52679355.5555556
France;1901;6;30;18.7363636364;2708.8;54717760
France;1901;7;1;19.1727272727;2417.7;48837540
France;1901;7;2;19.5818181818;2610.1;52724020
France;1901;7;3;18.8454545455;2533.9;51184780
France;1901;7;4;18.6181818182;2506.3;50627260
France;1901;7;5;18.4818181818;2667.4;53881480
