Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;4;17;10.6909090909;1698.5;34309700
France;1901;4;18;10.2818181818;1538.4;31075680
France;1901;4;19;10.3181818182;1719.4;34731880
France;1901;4;20;10.9181818182;1445.1;29191020
France;1901;4;21;11.7636363636;1643.6;33200720
France;1901;4;22;12.0636363636;1789.1;36139820
France;1901;4;23;12.5272727273;1706.6;34473320
France;1901;4;24;13.6545454545;1659.3;33517860
France;1901;4;25;13.6545454545;1618.6;32695720
France;1901;4;26;12.7272727273;1442.1;29130420
France;1901;4;27;12.2363636364;1527.2;30849440
France;1901;4;28;11.8363636364;1467.9;29651580
France;1901;4;29;11.9727272727;1342.9;27126580
France;1901;4;30;12.5;1394.1;28160820
France;1901;5;1;13.0272727273;1464.6;29584920
France;1901;5;2;13.0545454545;1582.9;31974580
France;1901;5;3;12.5272727273;1483.1;29958620
France;1901;5;4;12.0818181818;1862.8;37628560
France;1901;5;5;12.0545454545;1697.2;34283440
France;1901;5;6;12.3181818182;1606.6;32453320
France;1901;5;7;13.5818181818;1306.9;26399380
France;1901;5;8;13.4;1275.8;25771160
France;1901;5;9;13.2727272727;1528.7;30879740
France;1901;5;10;13.9818181818;1570;31714000
France;1901;5;11;12.9181818182;1662.5;33582500
France;1901;5;12;12.3727272727;1522.4;30752480
France;1901;5;13;12.2727272727;1820.4;36772080
France;1901;5;14;12.3;1461.3;29518260
France;1901;5;15;12.1090909091;1318.5;26633700
France;1901;5;16;12.7090909091;1603.7;32394740
France;1901;5;17;13.4636363636;1693.4;34206680
France;1901;5;18;14.2545454545;1774.4;35842880
France;1901;5;19;14.2636363636;1700.4;34348080
France;1901;5;20;14.1181818182;1759.2;35535840
France;1901;5;21;14.3363636364;1782.9;36014580
France;1901;5;22;13.9545454545;1740.6;35160120
France;1901;5;23;14.0272727273;1979.6;39987920
France;1901;5;24;15.0636363636;1908.5;38551700
France;1901;5;25;16.5818181818;1978.9;39973780
France;1901;5;26;15.3181818182;1495;30199000
France;1901;5;27;14.6727272727;1655.2;33435040
France;1901;5;28;14.3363636364;1753.5;35420700
France;1901;5;29;14.4727272727;1819.2;36747840
France;1901;5;30;14.5272727273;1772.2;35798440
France;1901;5;31;13.6272727273;1543.3;31174660
France;1901;6;1;14.4454545455;1501.1;30322220
France;1901;6;2;16.1181818182;1700.9;34358180
France;1901;6;3;15.9272727273;1866.4;37701280
France;1901;6;4;15.3272727273;1928.4;38953680
France;1901;6;5;16.3363636364;2007.9;40559580
France;1901;6;6;16.0454545455;1862.5;37622500
France;1901;6;7;16.3181818182;1835.9;37085180
France;1901;6;8;16.7090909091;1655.1;33433020
France;1901;6;9;16.7545454545;1914.7;38676940
France;1901;6;10;16.9;1507;30441400
France;1901;6;11;16.7818181818;2005.9;40519180
France;1901;6;12;16.1454545455;1756.1;35473220
France;1901;6;13;16.3;1881.3;38002260
France;1901;6;14;16.7454545455;1874.1;37856820
France;1901;6;15;15.9;1506;30421200
France;1901;6;16;16.4363636364;1801.3;36386260
France;1901;6;17;17.0909090909;1944.1;39270820
France;1901;6;18;17.5454545455;1731;34966200
France;1901;6;19;16.8090909091;1819.3;36749860
France;1901;6;20;16.6545454545;1625.9;32843180
France;1901;6;21;16.8909090909;1757.3;35497460
France;1901;6;22;17.1818181818;1853.4;37438680
France;1901;6;23;16.8818181818;2135.5;43137100
France;1901;6;24;17.6545454545;2135;43127000
France;1901;6;25;17.5090909091;2036.6;41139320
France;1901;6;26;18.1727272727;2028.3;40971660
France;1901;6;27;19.6363636364;1981.3;40022260
France;1901;6;28;19.3363636364;1814.3;36648860
France;1901;6;29;18.2181818182;1949.5;39379900
France;1901;6;30;18.7363636364;2083;42076600
France;1901;7;1;19.1727272727;1851.6;37402320
France;1901;7;2;19.5818181818;1617.6;32675520
