Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;2;5;5.5727272727;533.9625;10786042.5
France;1901;2;6;5.4090909091;619.0875;12505567.5
France;1901;2;7;3.4545454545;626.1;12647220
France;1901;2;8;3.9;617.9375;12482337.5
France;1901;2;9;3.2272727273;599.325;12106365
France;1901;2;10;3.2818181818;662.95;13391590
France;1901;2;11;4.3272727273;669.5375;13524657.5
France;1901;2;12;3.6363636364;745.3375;15055817.5
France;1901;2;13;3.3636363636;653.6;13202720
France;1901;2;14;3.8727272727;643.825;13005265
France;1901;2;15;4.2272727273;717.675;14497035
France;1901;2;16;4.1727272727;778.4125;15723932.5
France;1901;2;17;4.6272727273;666.675;13466835
France;1901;2;18;5;757.7625;15306802.5
France;1901;2;19;4.5545454545;824.975;16664495
France;1901;2;20;4.6727272727;803.5;16230700
France;1901;2;21;4.2818181818;791.2625;15983502.5
France;1901;2;22;4.5727272727;757.75;15306550
France;1901;2;23;4.7909090909;772.4125;15602732.5
France;1901;2;24;5.7727272727;790.0375;15958757.5
France;1901;2;25;5.6272727273;713.9625;14422042.5
France;1901;2;26;4.5454545455;800.7875;16175907.5
France;1901;2;27;4.2181818182;766.2625;15478502.5
France;1901;2;28;4.6454545455;837.0625;16908662.5
France;1901;2;29;6.8;853.0833333333;17232283.3333333
France;1901;3;1;4.5545454545;779.9125;15754232.5
France;1901;3;2;4.8545454545;881.625;17808825
France;1901;3;3;4.9;979.125;19778325
France;1901;3;4;4.5909090909;999.675;20193435
France;1901;3;5;4.4727272727;1166;23553200
France;1901;3;6;4.7545454545;1078.7125;21789992.5
France;1901;3;7;5.0545454545;1101.4875;22250047.5
France;1901;3;8;6.6727272727;1165.0125;23533252.5
France;1901;3;9;6.7454545455;1149.275;23215355
France;1901;3;10;5.9363636364;1121.7375;22659097.5
