year;month;day;TM;RG
1;2;18;4.5117647059;592.9411764706
1;2;19;4.5470588235;691.8235294118
1;2;20;5.1058823529;595.2352941176
1;2;21;4.4058823529;619.8823529412
1;2;22;5.0235294118;588.2352941176
1;2;23;5.2647058824;574.2941176471
1;2;24;5.7235294118;683.4117647059
1;2;25;5.6823529412;639.5294117647
1;2;26;5.3588235294;709.1176470588
1;2;27;5.1117647059;739.9411764706
1;2;28;5.1823529412;669.6470588235
1;2;29;6.8;541.75
1;3;1;5.4235294118;701.7647058824
1;3;2;5.1058823529;794.1176470588
1;3;3;5.0705882353;841.6470588235
1;3;4;4.9352941176;854
1;3;5;4.8470588235;995.1764705882
1;3;6;5.2235294118;1030.9411764706
1;3;7;6.2470588235;862.2941176471
1;3;8;7.3941176471;998.9411764706
1;3;9;7.6294117647;938.1176470588
1;3;10;7.1470588235;806.3529411765
1;3;11;7.4588235294;882.4117647059
1;3;12;7;988.5882352941
1;3;13;7;1088.2352941177
1;3;14;7.3411764706;1091.7647058824
1;3;15;8.2941176471;1227.9411764706
1;3;16;8.9647058824;1305.9411764706
1;3;17;8.9529411765;1038.2941176471
1;3;18;8.0941176471;951.5294117647
1;3;19;7.4823529412;1020.705882353
1;3;20;7.8882352941;1101.1764705882
1;3;21;7.8;1024.7647058824
1;3;22;7.8823529412;1058.4117647059
1;3;23;8.2294117647;1311.3529411765
1;3;24;8.5764705882;1110.4705882353
1;3;25;8.3529411765;1075.5882352941
1;3;26;8.1588235294;1059.8235294118
1;3;27;8.3235294118;1314.1764705882
1;3;28;8.6588235294;1192.1176470588
1;3;29;9.2882352941;1264.2352941177
1;3;30;9.2705882353;1096.9411764706
1;3;31;9.5235294118;1176.4705882353
1;4;1;10.0235294118;1580.4705882353
1;4;2;10.7941176471;1480.1764705882
1;4;3;10.1;1261.6470588235
1;4;4;8.5176470588;1140.8823529412
1;4;5;8.5764705882;1397.6470588235
1;4;6;9.3;1536.3529411765
1;4;7;8.7;1667.2941176471
1;4;8;8.1411764706;1414.8823529412
1;4;9;9.2352941176;1506.0588235294
1;4;10;9.6882352941;1579.5294117647
1;4;11;8.9470588235;1527.3529411765
1;4;12;9.4411764706;1674.2941176471
1;4;13;9.8058823529;1336.4117647059
1;4;14;10.5882352941;1448.8235294118
1;4;15;10.5764705882;1462.5294117647
1;4;16;10.3176470588;1673.0588235294
1;4;17;10.6411764706;1733.1764705882
1;4;18;10.1411764706;1677
1;4;19;9.7235294118;1794.4117647059
1;4;20;10.6;1676.4117647059
1;4;21;11.6117647059;1913
1;4;22;12;1949.8823529412
1;4;23;12.1705882353;1714.4705882353
1;4;24;13.1823529412;1875
1;4;25;13.5352941176;1734.5294117647
1;4;26;12.3882352941;1325.5294117647
1;4;27;11.9647058824;1609.1176470588
1;4;28;11.8882352941;1441.2352941177
1;4;29;11.8882352941;1593.5294117647
1;4;30;12.4352941176;1581.705882353
1;5;1;12.7588235294;1751.4705882353
1;5;2;12.7823529412;1544.5294117647
1;5;3;12.5117647059;1751.2941176471
1;5;4;12.3176470588;1672.2941176471
1;5;5;12.1176470588;1689.2941176471
1;5;6;12.2588235294;1607.5294117647
1;5;7;13.5294117647;1839.3529411765
1;5;8;13.8705882353;1653.2352941177
1;5;9;13.9176470588;1621.5882352941
1;5;10;14.3470588235;1617.4705882353
1;5;11;13.9352941176;1815
1;5;12;13.1588235294;2017.5294117647
1;5;13;13.0235294118;1920.2941176471
1;5;14;12.6352941176;1731.9411764706
1;5;15;12.5764705882;1944.8823529412
1;5;16;13.4411764706;1921.4117647059
1;5;17;13.5470588235;1913.0588235294
1;5;18;13.9;2086.9375
1;5;19;13.7625;1924.8125
1;5;20;13.775;1831.5625
1;5;21;14.30625;1763.5625
1;5;22;13.98125;1922.9375
1;5;23;14.31875;2286.625
1;5;24;15.025;1860.25
1;5;25;15.90625;2282.875
1;5;26;15.15;1795.3125
1;5;27;14.80625;1891.8125
1;5;28;14.85625;2100.875
1;5;29;15.3125;2173
1;5;30;15.3875;1876.5
1;5;31;14.575;1953.125
1;6;1;15.48125;1937.625
1;6;2;16.7125;2215.5
1;6;3;16.0625;1983.625
1;6;4;15.5375;1883.9375
1;6;5;15.75625;2040.5
1;6;6;15.71875;1904.5
1;6;7;16.03125;2059.0625
1;6;8;16.28125;2067.6875
1;6;9;16.40625;2036.5
1;6;10;16.2625;1822.625
1;6;11;16.2875;2282.25
1;6;12;16.4375;1995.5
1;6;13;16.44375;2082.25
1;6;14;17.34375;2145.9375
1;6;15;16.43125;1742.5625
1;6;16;17.325;2433.1875
1;6;17;17.9125;2188.5
1;6;18;17.7;2213.3125
1;6;19;17.49375;2132.6875
1;6;20;17.25625;2031.3125
1;6;21;17.04375;2047.3125
1;6;22;17.51875;2293.125
1;6;23;17.16875;2258.625
1;6;24;17.65;2292.75
1;6;25;17.88125;2281.375
1;6;26;18.4875;2148.625
1;6;27;18.775;2039.125
1;6;28;18.61875;2108.5
1;6;29;18.50625;2208.625
1;6;30;18.54375;2231.5
1;7;1;18.55;2193.125
1;7;2;19.2875;2265.625
1;7;3;18.7875;2079.875
1;7;4;18.2875;1961.3125
1;7;5;17.99375;1807.8125
1;7;6;17.825;1942
1;7;7;17.26875;1765.625
1;7;8;17.375;1916.8125
1;7;9;17.75625;1867.75
1;7;10;17.8375;1818.3125
1;7;11;18.11875;2114.875
1;7;12;17.7375;1749.625
1;7;13;18.1;1899.3125
1;7;14;18.66875;2113.125
1;7;15;19.71875;2154
1;7;16;18.91875;1966.4375
1;7;17;19.20625;2214.125
1;7;18;19.9125;2247.9375
1;7;19;19.925;2013.5
1;7;20;19.375;1957.0625
1;7;21;19.45;2120.625
1;7;22;19.50625;2181.4375
1;7;23;19.13125;1948.3125
1;7;24;19.45625;2125.625
1;7;25;20.0125;2038.375
1;7;26;20.3875;1795.8125
1;7;27;20.40625;1615.75
1;7;28;20.65;2134.125
1;7;29;19.83125;1951.875
1;7;30;19.23125;1988.5625
1;7;31;20.0375;2143.625
1;8;1;20.80625;2138.5625
1;8;2;19.94375;1875.1875
1;8;3;19.18125;1865.5
1;8;4;19.30625;2039.75
1;8;5;19.8625;1839.125
1;8;6;19.69375;1718.9375
1;8;7;19.025;1696.375
1;8;8;18.6875;1626.9375
1;8;9;18.78125;1819.9375
1;8;10;18.575;1745.9375
1;8;11;18.88125;1779
1;8;12;18.74375;1802.9375
1;8;13;18.36875;1752.0625
1;8;14;18.61875;1716.5625
1;8;15;19.20625;1822.6875
1;8;16;18.75625;1856.3125
1;8;17;19.2625;1755.3125
1;8;18;19.55;1600.0625
1;8;19;18.83125;1657.5625
1;8;20;17.7625;1590.6875
1;8;21;18.1;1790.5
1;8;22;17.9125;1784.0625
1;8;23;18.65625;1700
1;8;24;18.325;1574.4375
1;8;25;18.46875;1600.75
1;8;26;18.575;1409.125
1;8;27;17.84375;1483
1;8;28;17.24375;1514.5625
1;8;29;16.73125;1603.1875
1;8;30;16.78125;1733.1875
1;8;31;16.9875;1718
1;9;1;17.2117647059;1638.0588235294
1;9;2;17.5411764706;1564.2941176471
1;9;3;17.5941176471;1483.9411764706
1;9;4;17.1764705882;1548
1;9;5;17.5;1461.4705882353
1;9;6;17.4941176471;1347.5294117647
1;9;7;17.1647058824;1482.4117647059
1;9;8;17.5882352941;1440.4705882353
1;9;9;17.6176470588;1410.4117647059
1;9;10;17.4117647059;1468.4117647059
1;9;11;16.6882352941;1279.4117647059
1;9;12;16.0941176471;1209.8235294118
1;9;13;15.6117647059;1281.1176470588
1;9;14;15.5470588235;1410
1;9;15;15.3882352941;1268.9411764706
1;9;16;15.1176470588;1353.3529411765
1;9;17;14.6176470588;1205.3529411765
1;9;18;14.8882352941;1366.705882353
1;9;19;14.7470588235;1271.0588235294
1;9;20;15.1235294118;1339.7647058824
1;9;21;15.2647058824;1324.5294117647
1;9;22;15.1764705882;1223.1176470588
1;9;23;15.2352941176;1226.0588235294
1;9;24;14.2294117647;1076.7647058824
1;9;25;14.1352941176;1202.1176470588
1;9;26;14.2117647059;1080.9411764706
1;9;27;14.4294117647;1035.1176470588
1;9;28;14.6529411765;991
1;9;29;14.7941176471;923.4117647059
1;9;30;14.7294117647;1034.2352941177
1;10;1;15.1941176471;903.5882352941
1;10;2;14.6647058824;829.7058823529
1;10;3;14.1529411765;947.8235294118
1;10;4;13.6;808.3529411765
1;10;5;13.0411764706;795.9411764706
1;10;6;13.0117647059;710.6470588235
1;10;7;12.5058823529;867.1176470588
1;10;8;12.8176470588;738.3529411765
1;10;9;13.3705882353;723.3529411765
1;10;10;13.2294117647;834.9411764706
1;10;11;13.3176470588;812.5294117647
1;10;12;12.8411764706;895.8823529412
1;10;13;12.4235294118;821
1;10;14;11.8941176471;886.4117647059
1;10;15;11.3235294118;777.7058823529
1;10;16;11.4294117647;789.0588235294
1;10;17;11.0235294118;764.1176470588
1;10;18;10.6058823529;794.7058823529
1;10;19;10.9529411765;753.7058823529
1;10;20;11.5588235294;653
1;10;21;11.6411764706;684.5882352941
1;10;22;12.0764705882;755.9411764706
1;10;23;11.8117647059;643.5882352941
1;10;24;11.1;525.9411764706
1;10;25;11.7411764706;601.7647058824
1;10;26;11.3764705882;650.4117647059
1;10;27;10.8470588235;639.7058823529
1;10;28;10.9117647059;646
1;10;29;10.7470588235;546.2941176471
1;10;30;10.7941176471;594.5882352941
1;10;31;10.7058823529;585.5294117647
1;11;1;10.2411764706;474.8235294118
1;11;2;10.3411764706;445.4117647059
1;11;3;10.4941176471;550.2352941176
1;11;4;8.9705882353;573.2352941176
1;11;5;8.3294117647;548.9411764706
1;11;6;8.8117647059;504.8235294118
1;11;7;8.5176470588;431.0588235294
1;11;8;8.3117647059;343.8823529412
1;11;9;8.3176470588;391.1764705882
1;11;10;7.8176470588;474.9411764706
1;11;11;7.9235294118;445.2352941176
1;11;12;8.2647058824;391.9411764706
1;11;13;8.3;434.1764705882
1;11;14;7.7;405
1;11;15;6.5352941176;493.1176470588
1;11;16;6.0411764706;320.4705882353
1;11;17;6.0529411765;403.4705882353
1;11;18;6.1764705882;304.9411764706
1;11;19;5.9117647059;321.2352941176
1;11;20;5.9294117647;329.0588235294
1;11;21;6.4529411765;335.4705882353
1;11;22;6.4529411765;404.5882352941
1;11;23;6.8;308.8823529412
1;11;24;6.7529411765;315.2352941176
1;11;25;6.5647058824;269.2941176471
1;11;26;6.3058823529;340.4705882353
1;11;27;6.2647058824;335.4705882353
1;11;28;6.3529411765;287.2941176471
1;11;29;6.1823529412;304.1764705882
1;11;30;5.2294117647;283.5294117647
1;12;1;6;200
1;12;2;5.6352941176;243.2941176471
1;12;3;5.4588235294;265.2941176471
1;12;4;5.6823529412;223.3529411765
1;12;5;6.1647058824;276.2941176471
1;12;6;5.5470588235;268.7647058824
1;12;7;4.8117647059;235.8823529412
1;12;8;4.6294117647;235.2352941176
1;12;9;3.9411764706;304.5294117647
1;12;10;3.7411764706;332.3529411765
1;12;11;4.2411764706;306
1;12;12;4.5588235294;264.9411764706
1;12;13;4.3411764706;259.3529411765
1;12;14;3.9058823529;298
1;12;15;3.5117647059;325.8823529412
1;12;16;3.7117647059;305.2352941176
1;12;17;3.2176470588;277.9411764706
1;12;18;3.6235294118;253.1764705882
1;12;19;3.5764705882;288.1176470588
1;12;20;3.4882352941;323.0588235294
1;12;21;3.9117647059;227.2352941176
1;12;22;4.5705882353;226.8823529412
1;12;23;5.1;242.1176470588
1;12;24;5.6058823529;236.8235294118
1;12;25;5.2058823529;241.8235294118
1;12;26;3.9882352941;297.7647058824
1;12;27;4.1235294118;218.7647058824
1;12;28;3.4647058824;227.1764705882
1;12;29;3.8529411765;317.2941176471
1;12;30;4.6705882353;268.3529411765
1;12;31;5.0294117647;222.9411764706
2;1;1;5.0176470588;230.7058823529
2;1;2;4.5941176471;338
2;1;3;4.4941176471;307.7058823529
2;1;4;4.3;276.4117647059
2;1;5;4.3588235294;281.7058823529
2;1;6;4.6764705882;257.8235294118
2;1;7;4.4529411765;330.8823529412
2;1;8;4.5529411765;277.2352941176
2;1;9;4.4;327.2352941176
2;1;10;4.3588235294;293
2;1;11;4.2588235294;275.8235294118
2;1;12;4.1882352941;294.4705882353
2;1;13;4.9294117647;271.1176470588
2;1;14;4.2588235294;385.2941176471
2;1;15;4.0764705882;338.6470588235
2;1;16;4.4823529412;374.1764705882
2;1;17;4.8176470588;352.4117647059
2;1;18;5.1411764706;261.4705882353
2;1;19;5.7705882353;272
2;1;20;5.6294117647;268.7058823529
2;1;21;5.2058823529;310.8235294118
2;1;22;4.9;310.6470588235
2;1;23;4.5705882353;300.3529411765
2;1;24;4.0058823529;373.2941176471
2;1;25;3.1470588235;439.2352941176
2;1;26;3.3117647059;302
2;1;27;3.2529411765;458.0588235294
2;1;28;4.0470588235;340.1176470588
2;1;29;3.3176470588;359.7058823529
2;1;30;2.9;440.0588235294
2;1;31;3.2117647059;465.1176470588
2;2;1;3.5117647059;378.3529411765
2;2;2;3.9;425
2;2;3;4.2294117647;495
2;2;4;5.2352941176;470.1176470588
2;2;5;5.7647058824;418.7058823529
2;2;6;5.3117647059;437.4117647059
2;2;7;4;542
2;2;8;4.7529411765;450.7647058824
2;2;9;3.6352941176;490.1176470588
2;2;10;3.6176470588;528.8823529412
2;2;11;4.7941176471;598.7058823529
2;2;12;3.9;524.1764705882
2;2;13;3.7882352941;551.3529411765
2;2;14;3.7764705882;519
2;2;15;4.1058823529;590.5294117647
2;2;16;3.7647058824;737.5882352941
2;2;17;4.2176470588;663
2;2;18;4.5117647059;592.9411764706
2;2;19;4.5470588235;691.8235294118
2;2;20;5.1058823529;595.2352941176
2;2;21;4.4058823529;619.8823529412
2;2;22;5.0235294118;588.2352941176
2;2;23;5.2647058824;574.2941176471
2;2;24;5.7235294118;683.4117647059
2;2;25;5.6823529412;639.5294117647
2;2;26;5.3588235294;709.1176470588
2;2;27;5.1117647059;739.9411764706
2;2;28;5.1823529412;669.6470588235
2;2;29;6.8;541.75
2;3;1;5.4235294118;701.7647058824
2;3;2;5.1058823529;794.1176470588
2;3;3;5.0705882353;841.6470588235
2;3;4;4.9352941176;854
2;3;5;4.8470588235;995.1764705882
2;3;6;5.2235294118;1030.9411764706
2;3;7;6.2470588235;862.2941176471
2;3;8;7.3941176471;998.9411764706
2;3;9;7.6294117647;938.1176470588
2;3;10;7.1470588235;806.3529411765
2;3;11;7.4588235294;882.4117647059
2;3;12;7;988.5882352941
2;3;13;7;1088.2352941177
2;3;14;7.3411764706;1091.7647058824
2;3;15;8.2941176471;1227.9411764706
2;3;16;8.9647058824;1305.9411764706
2;3;17;8.9529411765;1038.2941176471
2;3;18;8.0941176471;951.5294117647
2;3;19;7.4823529412;1020.705882353
2;3;20;7.8882352941;1101.1764705882
2;3;21;7.8;1024.7647058824
2;3;22;7.8823529412;1058.4117647059
2;3;23;8.2294117647;1311.3529411765
2;3;24;8.5764705882;1110.4705882353
2;3;25;8.3529411765;1075.5882352941
2;3;26;8.1588235294;1059.8235294118
2;3;27;8.3235294118;1314.1764705882
2;3;28;8.6588235294;1192.1176470588
2;3;29;9.2882352941;1264.2352941177
2;3;30;9.2705882353;1096.9411764706
2;3;31;9.5235294118;1176.4705882353
2;4;1;10.0235294118;1580.4705882353
2;4;2;10.7941176471;1480.1764705882
2;4;3;10.1;1261.6470588235
2;4;4;8.5176470588;1140.8823529412
2;4;5;8.5764705882;1397.6470588235
2;4;6;9.3;1536.3529411765
2;4;7;8.7;1667.2941176471
2;4;8;8.1411764706;1414.8823529412
2;4;9;9.2352941176;1506.0588235294
2;4;10;9.6882352941;1579.5294117647
2;4;11;8.9470588235;1527.3529411765
2;4;12;9.4411764706;1674.2941176471
2;4;13;9.8058823529;1336.4117647059
2;4;14;10.5882352941;1448.8235294118
2;4;15;10.5764705882;1462.5294117647
2;4;16;10.3176470588;1673.0588235294
2;4;17;10.6411764706;1733.1764705882
2;4;18;10.1411764706;1677
2;4;19;9.7235294118;1794.4117647059
2;4;20;10.6;1676.4117647059
2;4;21;11.6117647059;1913
2;4;22;12;1949.8823529412
2;4;23;12.1705882353;1714.4705882353
2;4;24;13.1823529412;1875
2;4;25;13.5352941176;1734.5294117647
2;4;26;12.3882352941;1325.5294117647
2;4;27;11.9647058824;1609.1176470588
2;4;28;11.8882352941;1441.2352941177
2;4;29;11.8882352941;1593.5294117647
2;4;30;12.4352941176;1581.705882353
2;5;1;12.7588235294;1751.4705882353
2;5;2;12.7823529412;1544.5294117647
2;5;3;12.5117647059;1751.2941176471
2;5;4;12.3176470588;1672.2941176471
2;5;5;12.1176470588;1689.2941176471
2;5;6;12.2588235294;1607.5294117647
2;5;7;13.5294117647;1839.3529411765
2;5;8;13.8705882353;1653.2352941177
2;5;9;13.9176470588;1621.5882352941
2;5;10;14.3470588235;1617.4705882353
2;5;11;13.9352941176;1815
2;5;12;13.1588235294;2017.5294117647
2;5;13;13.0235294118;1920.2941176471
2;5;14;12.6352941176;1731.9411764706
2;5;15;12.5764705882;1944.8823529412
2;5;16;13.4411764706;1921.4117647059
2;5;17;13.5470588235;1913.0588235294
2;5;18;13.9;2086.9375
2;5;19;13.7625;1924.8125
2;5;20;13.775;1831.5625
2;5;21;14.30625;1763.5625
2;5;22;13.98125;1922.9375
2;5;23;14.31875;2286.625
2;5;24;15.025;1860.25
2;5;25;15.90625;2282.875
2;5;26;15.15;1795.3125
